0	51	60	-1	-1	80	11	-1	94	-1	5	31	14	71	59	35	-1	18	99	14	-1	35	51	23	-1	95	87	30	96	3	10	70	26	32	24	51	3	79	30	100	-1	15	16	38	-1	17	31	19	7	53	90	7	54	-1	-1	40	3	73	39	79	96	-1	33	77	100	1	14	-1	96	-1	70	-1	8	44	84	69	97	73	92	40	18	42	37	74	97	56	91	-1	28	-1	15	40	22	68	28	65	46	52	25	87	-1	41	87	87	22	70	17	36	13	-1	46	-1	98	17	35	-1	55	27	64	10	63	37	97	69	76	58	74	96	57	-1	17	71	57	8	4	10	33	40	99	51	33	16	-1	11	31	56	39	19	2	66	50	-1	52	14	-1	6	50	80	11	55	49	75	7	55	32	2	72	18	57	59	80	59	80	-1	39	93	64	99	90	75	6	2	-1	17	82	57	9	2	37	15	95	56	59	31	65	19	21	-1	71	-1	75	50	60	8	26	75	99	52	82	-1	22	60	78	-1	82	34	51	-1	73	81	72	25	73	-1	48	32	78	46	98	66	100	42	-1	-1	7	20	51	22	14	90	10	26	59	92	12	55	62	-1	54	43	
51	0	2	-1	73	16	43	50	17	47	22	41	7	-1	91	58	62	94	18	69	41	-1	13	93	30	63	22	60	29	13	96	29	97	44	8	26	99	5	10	83	12	7	83	93	67	38	-1	86	51	-1	78	69	86	12	13	-1	20	27	91	16	20	-1	36	42	42	37	50	13	66	39	-1	12	94	-1	-1	1	17	81	66	3	91	35	-1	72	48	45	38	21	49	61	37	14	-1	-1	36	21	47	-1	-1	-1	33	100	41	5	67	-1	26	-1	56	52	34	43	79	2	67	24	-1	18	64	41	5	63	-1	23	98	32	57	14	29	46	100	58	5	16	68	23	54	21	-1	25	7	13	94	1	41	38	59	30	12	78	93	13	28	-1	24	92	15	29	-1	39	63	67	34	56	49	64	-1	52	-1	38	-1	-1	61	92	50	46	52	97	33	47	59	30	75	71	5	77	2	64	65	91	37	66	65	-1	94	16	62	70	49	89	36	-1	50	55	31	21	22	81	12	15	40	46	95	82	-1	49	89	35	63	2	80	25	16	64	-1	51	92	45	-1	-1	77	53	53	85	39	100	39	80	-1	17	69	9	30	65	92	-1	15	12	80	96	
60	2	0	58	88	46	78	54	16	21	73	-1	49	45	10	54	65	-1	81	63	55	90	82	85	38	69	41	53	68	12	29	83	38	-1	-1	74	100	89	-1	48	13	65	83	32	15	52	61	94	-1	34	79	34	85	55	23	20	2	22	1	46	72	1	20	-1	30	64	-1	87	17	80	63	50	42	72	53	71	-1	12	25	21	-1	-1	48	72	12	66	63	22	63	36	92	62	30	83	70	24	19	66	58	43	38	30	-1	14	49	53	13	38	9	68	-1	27	55	35	41	-1	96	40	77	94	64	38	75	86	21	30	64	18	74	2	100	-1	30	45	65	74	-1	23	15	33	-1	88	18	56	17	68	-1	-1	14	33	65	26	35	-1	1	-1	46	53	81	9	-1	61	55	23	55	98	63	93	22	89	74	-1	6	94	72	64	19	15	73	37	90	80	25	10	28	8	-1	31	90	21	39	20	85	22	63	20	48	80	65	8	70	21	79	55	55	73	6	34	-1	37	70	36	80	47	77	89	39	36	-1	86	58	66	88	26	96	-1	67	84	16	43	-1	8	62	5	87	87	86	2	2	1	30	19	4	-1	27	24	7	93	-1	-1	
-1	-1	58	0	64	85	21	32	77	-1	33	-1	10	49	13	2	98	47	-1	41	23	38	64	95	90	40	93	62	94	77	15	38	49	-1	36	-1	-1	8	9	5	49	51	61	52	88	87	24	83	53	97	56	82	32	16	38	11	-1	83	-1	11	69	68	22	-1	24	82	87	-1	38	47	35	58	19	-1	-1	7	62	3	-1	37	74	-1	15	-1	81	62	57	66	15	30	57	83	6	18	66	24	45	20	90	41	-1	72	14	34	-1	61	92	12	-1	80	-1	72	10	1	15	53	4	-1	1	86	44	17	59	66	56	29	61	-1	24	88	81	-1	5	45	87	89	33	-1	65	85	24	93	44	55	82	17	12	60	35	-1	38	40	28	14	23	43	-1	22	29	64	39	59	9	60	45	83	59	19	-1	86	-1	-1	42	48	95	51	-1	33	25	46	40	61	67	89	50	-1	96	5	-1	47	59	-1	-1	6	33	88	45	-1	46	51	-1	65	82	81	-1	7	9	-1	16	-1	99	97	28	100	64	55	5	25	23	36	4	81	52	52	50	-1	49	8	8	16	72	19	6	-1	39	36	10	15	-1	-1	15	64	79	49	55	41	96	26	-1	22	
-1	73	88	64	0	-1	3	94	82	-1	96	72	-1	36	73	-1	19	56	3	94	72	89	-1	91	67	12	11	25	76	96	77	59	24	74	41	19	92	98	97	18	86	80	74	37	28	32	60	14	14	30	28	28	83	94	11	-1	-1	42	17	-1	53	-1	79	28	63	-1	-1	21	78	83	61	95	31	50	81	29	33	8	74	32	79	96	-1	-1	79	53	86	17	-1	97	66	20	25	56	89	15	59	84	64	42	-1	8	21	-1	-1	37	96	12	65	49	12	49	50	90	34	-1	47	25	21	88	-1	-1	48	67	58	19	-1	68	93	42	61	99	65	87	-1	22	50	78	35	95	10	68	32	88	71	60	1	16	58	55	77	-1	64	47	72	2	49	72	61	81	31	58	83	64	47	56	95	10	68	80	32	-1	81	34	74	89	10	38	80	90	-1	98	64	48	57	-1	33	-1	81	29	38	49	-1	59	-1	2	15	77	64	8	9	39	57	68	35	-1	73	16	91	-1	40	62	45	57	13	14	92	47	-1	40	83	52	77	76	44	22	7	22	5	52	64	72	44	37	36	76	92	8	45	57	77	77	-1	-1	39	85	78	84	53	7	
80	16	46	85	-1	0	79	92	98	33	8	72	59	55	82	85	84	65	39	89	53	24	-1	56	21	85	-1	94	46	85	67	-1	42	-1	-1	70	2	49	90	22	74	-1	21	90	54	60	83	18	47	87	15	7	56	72	81	41	-1	-1	50	79	93	-1	79	84	77	12	72	55	30	75	73	7	23	36	30	87	60	25	74	37	58	100	97	85	45	39	64	44	5	83	90	57	85	67	58	53	92	34	31	16	-1	40	47	-1	-1	81	-1	61	67	96	66	31	74	-1	31	82	76	-1	-1	6	70	68	76	-1	29	29	11	37	63	34	21	5	33	6	76	13	10	7	94	17	15	82	7	51	11	-1	87	62	91	35	87	87	76	-1	95	100	63	-1	91	-1	14	62	67	-1	98	6	90	22	67	74	82	2	20	21	65	60	69	53	-1	19	29	88	58	3	13	72	72	87	59	99	1	85	21	39	1	20	17	17	26	68	98	80	73	-1	82	-1	56	10	10	54	13	62	12	12	62	22	8	10	26	95	-1	26	63	40	9	15	53	100	2	-1	3	12	97	93	83	22	17	26	66	97	95	-1	33	51	11	34	86	55	90	40	
11	43	78	21	3	79	0	9	60	77	94	31	62	29	41	66	38	13	57	61	51	-1	76	68	24	62	49	19	67	76	90	60	12	-1	39	-1	50	52	21	34	95	13	-1	9	76	9	16	41	89	50	-1	69	55	85	70	2	39	-1	98	43	37	73	9	94	-1	91	30	-1	19	90	45	-1	13	45	6	59	48	5	-1	66	7	44	90	87	75	99	54	88	-1	24	28	63	86	92	-1	13	46	27	74	59	29	84	46	15	3	25	-1	93	-1	45	29	35	43	1	32	78	-1	56	-1	17	49	77	88	49	-1	29	33	-1	48	-1	40	-1	4	71	10	45	82	4	72	-1	42	-1	-1	-1	16	67	61	-1	-1	84	-1	41	63	34	-1	26	16	50	6	37	38	27	56	35	32	-1	34	87	66	28	12	92	26	69	12	65	66	29	-1	84	87	25	70	29	76	39	-1	-1	14	85	43	-1	89	9	34	-1	34	-1	87	21	67	19	95	36	59	-1	95	81	20	-1	51	92	10	-1	54	-1	13	33	70	3	39	80	96	85	86	89	-1	9	86	37	-1	96	52	17	93	73	3	12	94	-1	2	81	71	16	-1	13	-1	29	1	97	
-1	50	54	32	94	92	9	0	93	40	55	25	82	75	82	-1	51	20	77	83	32	30	99	63	39	97	9	27	-1	17	44	-1	67	-1	82	59	25	8	78	40	68	11	98	98	37	60	5	48	52	29	54	86	18	-1	92	-1	1	44	38	62	16	-1	59	52	100	70	3	-1	22	51	49	78	-1	-1	-1	-1	41	81	68	8	-1	100	72	3	-1	-1	-1	96	-1	91	29	2	42	12	-1	33	58	14	-1	64	37	73	72	95	28	1	28	43	21	17	100	70	-1	3	95	-1	44	52	-1	8	66	8	-1	4	77	-1	96	45	29	66	-1	96	60	68	44	56	47	-1	-1	98	48	8	45	16	19	94	70	39	34	68	-1	6	61	97	83	70	80	-1	17	88	25	52	22	81	19	32	53	30	1	58	78	50	35	59	12	2	72	57	-1	16	31	-1	-1	33	87	-1	-1	71	55	43	50	28	30	65	49	33	92	25	31	85	-1	35	-1	33	57	81	86	-1	86	89	51	88	15	29	44	-1	51	70	98	75	87	21	-1	35	92	68	13	60	59	25	77	78	87	94	26	88	15	40	-1	14	98	65	29	5	45	2	31	99	-1	45	
94	17	16	77	82	98	60	93	0	49	-1	50	62	94	19	90	-1	6	71	67	17	71	-1	58	87	8	74	1	-1	55	-1	24	56	-1	61	30	18	78	95	-1	65	-1	21	95	46	78	82	-1	25	-1	43	4	45	87	94	81	96	-1	95	11	69	100	54	-1	10	92	46	89	-1	39	98	74	35	38	17	13	48	22	28	16	3	85	47	72	49	83	43	3	25	63	34	-1	64	61	37	-1	28	-1	67	-1	69	85	75	88	19	95	16	18	9	-1	60	93	83	100	92	56	42	62	84	-1	97	-1	90	27	88	47	95	-1	14	68	92	-1	61	-1	38	25	4	29	7	94	-1	35	38	98	11	19	38	41	16	70	-1	19	67	12	90	-1	-1	36	-1	12	77	10	-1	1	63	92	2	80	95	17	-1	-1	53	-1	28	87	-1	100	11	47	78	43	17	48	85	35	88	14	84	70	6	14	11	18	63	63	14	58	1	44	25	-1	86	82	80	11	68	38	28	38	54	-1	-1	38	17	1	14	38	12	56	25	75	59	18	73	78	9	77	94	65	-1	2	5	33	99	98	18	77	-1	21	46	17	56	69	50	72	15	43	5	-1	
-1	47	21	-1	-1	33	77	40	49	0	21	-1	-1	-1	69	70	53	51	-1	93	73	71	85	70	13	-1	59	-1	62	-1	79	3	34	-1	-1	81	2	33	20	12	21	94	-1	7	33	94	22	6	9	14	73	96	71	73	88	2	43	11	81	82	21	88	24	85	30	1	99	85	55	26	15	13	71	70	53	17	93	42	25	40	69	54	58	53	2	29	22	12	-1	-1	92	6	44	12	59	16	2	23	-1	83	39	43	35	6	93	62	38	-1	77	89	82	57	9	-1	64	16	98	49	76	71	14	81	68	56	86	-1	2	25	13	40	21	79	10	78	4	-1	73	73	3	93	24	66	73	84	87	60	56	7	76	60	79	73	35	60	46	20	87	86	63	8	75	33	14	14	81	59	3	37	27	61	55	9	95	71	37	78	20	51	34	90	58	24	48	77	22	100	48	69	41	1	7	66	2	63	2	1	-1	29	98	84	50	6	38	24	83	74	92	71	81	87	-1	13	89	77	84	95	62	77	65	30	89	-1	92	-1	7	87	38	25	38	-1	53	68	37	71	89	92	-1	-1	-1	57	2	36	2	90	27	93	77	-1	1	-1	
