Final
0	4	6	8	4	8	8	11	13	17	19	10	14	17	22	18	20	21	5	9	10	11	5	7	11	13	7	11	15	14	16	9	12	14	20	18	19	21	7	14	12	14	10	11	13	15	10	16	10	14	20	21	15	16	19	19	12	14	16	16	19	11	21	20	12	15	18	22	14	16	19	20	16	20	15	17	15	19	21	21	19	23	23	17	20	20	22	23	
4	0	2	4	8	4	11	7	9	13	15	13	10	13	18	14	20	21	9	5	6	7	9	8	7	9	11	11	12	10	12	13	12	14	16	18	19	19	11	10	8	10	14	13	13	11	14	12	14	14	16	17	19	16	19	15	16	17	19	12	15	15	18	19	16	16	19	19	18	20	21	22	20	24	18	13	19	23	19	17	15	22	19	21	24	22	24	25	
6	2	0	2	10	6	13	9	11	11	13	15	12	15	20	16	20	21	11	3	4	5	11	10	5	7	13	13	13	8	10	15	14	15	14	19	19	17	13	8	6	8	14	13	11	9	16	10	16	16	14	15	21	18	20	13	16	17	19	10	13	17	16	17	18	18	19	17	20	22	22	21	20	24	18	11	21	22	17	15	13	20	17	23	26	23	22	23	
8	4	2	0	12	8	15	11	13	10	12	17	14	17	22	18	19	20	13	4	3	4	13	12	4	6	15	15	12	7	9	17	16	14	13	18	18	16	15	8	5	7	14	13	11	8	17	9	18	18	13	14	23	20	19	12	16	17	19	9	12	17	15	16	19	20	18	16	21	23	21	20	20	24	18	10	21	21	16	14	12	19	16	24	27	22	21	22	
4	8	10	12	0	4	4	7	9	21	22	6	10	13	18	14	16	17	4	13	14	15	1	3	15	17	3	7	11	16	18	5	8	10	20	14	15	17	6	12	15	18	6	7	9	19	6	20	6	10	23	22	11	12	15	23	8	10	12	20	20	7	17	16	8	11	14	18	10	12	15	16	12	16	11	21	11	15	17	19	21	19	21	13	16	16	18	19	
8	4	6	8	4	0	7	3	5	17	19	9	6	9	14	10	16	17	8	9	10	11	5	4	11	13	7	7	8	13	15	9	8	10	19	14	15	17	10	14	12	14	10	9	11	15	10	16	10	10	20	21	15	12	15	19	12	13	15	16	19	11	18	17	12	12	15	19	14	16	17	18	16	20	14	17	15	19	18	20	19	20	22	17	20	18	20	21	
8	11	13	15	4	7	0	4	6	22	20	2	7	10	15	11	16	17	8	16	17	18	5	7	17	20	4	8	9	14	16	4	8	10	20	14	15	17	10	16	19	21	10	11	13	20	7	19	5	10	22	21	10	12	15	26	9	11	13	21	19	8	16	15	7	10	13	17	9	11	14	15	13	17	12	22	12	16	16	18	20	18	20	12	15	15	17	18	
11	7	9	11	7	3	4	0	2	18	16	6	3	6	11	7	13	14	11	12	13	14	8	7	13	16	8	4	5	10	12	8	5	7	16	11	12	14	13	17	15	17	13	12	14	16	11	15	9	7	19	20	12	9	12	22	13	15	17	17	18	12	15	14	11	9	12	16	13	13	14	15	17	21	16	18	16	20	15	17	19	17	19	16	17	15	17	18	
13	9	11	13	9	5	6	2	0	16	14	8	5	4	9	9	11	12	13	13	12	13	10	9	11	14	10	6	3	8	10	10	7	5	14	9	10	12	15	17	14	16	15	14	16	14	13	13	11	9	17	18	14	11	10	20	15	17	19	15	18	14	17	16	13	11	14	17	15	15	12	13	19	23	18	16	18	22	17	19	18	17	20	18	18	13	15	16	
17	13	11	10	21	17	22	18	16	0	2	23	21	19	20	25	16	17	22	8	7	6	22	21	7	4	21	17	13	8	6	21	17	15	10	16	15	13	21	12	9	9	18	17	15	6	21	7	22	19	11	12	24	21	17	12	20	21	23	7	10	21	13	14	22	19	16	14	24	22	19	18	24	28	22	8	23	19	14	12	10	17	14	27	25	20	19	20	
